n_element = 106443 , t_a_compute = 0.000528 seconds, bandwidth = 201.674893 GBytes/s, performance = 145.205923 GFlop/s, t_j_init = 0.000283 , t_j_init_copy = 0.000352 , t_a_init_copy = 0.000626 , t_j_end_copy = 0.000371 , t_a_end_copy = 0.000595
n_element = 117087 , t_a_compute = 0.000534 seconds, bandwidth = 219.167185 GBytes/s, performance = 157.800373 GFlop/s, t_j_init = 0.000308 , t_j_init_copy = 0.000383 , t_a_init_copy = 0.000698 , t_j_end_copy = 0.000408 , t_a_end_copy = 0.000648
n_element = 128795 , t_a_compute = 0.000631 seconds, bandwidth = 204.141313 GBytes/s, performance = 146.981745 GFlop/s, t_j_init = 0.000343 , t_j_init_copy = 0.000417 , t_a_init_copy = 0.000741 , t_j_end_copy = 0.000435 , t_a_end_copy = 0.000703
n_element = 141674 , t_a_compute = 0.000659 seconds, bandwidth = 215.135111 GBytes/s, performance = 154.897280 GFlop/s, t_j_init = 0.000383 , t_j_init_copy = 0.000455 , t_a_init_copy = 0.000802 , t_j_end_copy = 0.000473 , t_a_end_copy = 0.000776
n_element = 155841 , t_a_compute = 0.000739 seconds, bandwidth = 211.011410 GBytes/s, performance = 151.928215 GFlop/s, t_j_init = 0.000402 , t_j_init_copy = 0.000495 , t_a_init_copy = 0.000959 , t_j_end_copy = 0.000528 , t_a_end_copy = 0.000905
n_element = 171425 , t_a_compute = 0.000803 seconds, bandwidth = 213.379189 GBytes/s, performance = 153.633016 GFlop/s, t_j_init = 0.000446 , t_j_init_copy = 0.000550 , t_a_init_copy = 0.000998 , t_j_end_copy = 0.000556 , t_a_end_copy = 0.000921
n_element = 188567 , t_a_compute = 0.000928 seconds, bandwidth = 203.247353 GBytes/s, performance = 146.338094 GFlop/s, t_j_init = 0.000506 , t_j_init_copy = 0.000593 , t_a_init_copy = 0.001128 , t_j_end_copy = 0.000657 , t_a_end_copy = 0.001034
n_element = 207423 , t_a_compute = 0.000922 seconds, bandwidth = 225.006590 GBytes/s, performance = 162.004745 GFlop/s, t_j_init = 0.000551 , t_j_init_copy = 0.000653 , t_a_init_copy = 0.001196 , t_j_end_copy = 0.000657 , t_a_end_copy = 0.001096
n_element = 228165 , t_a_compute = 0.001041 seconds, bandwidth = 219.180359 GBytes/s, performance = 157.809858 GFlop/s, t_j_init = 0.000611 , t_j_init_copy = 0.000711 , t_a_init_copy = 0.001260 , t_j_end_copy = 0.000709 , t_a_end_copy = 0.001196
n_element = 250981 , t_a_compute = 0.001105 seconds, bandwidth = 227.110546 GBytes/s, performance = 163.519593 GFlop/s, t_j_init = 0.000674 , t_j_init_copy = 0.000809 , t_a_init_copy = 0.001404 , t_j_end_copy = 0.000776 , t_a_end_copy = 0.001402
