n_element = 60086 , t_a_compute = 0.000704 seconds, bandwidth = 85.336098 GBytes/s, performance = 61.441991 GFlop/s, t_j_init = 0.000091 , t_j_init_copy = 0.000217 , t_a_init_copy = 0.000374 , t_j_end_copy = 0.000238 , t_a_end_copy = 0.000366
n_element = 66094 , t_a_compute = 0.000771 seconds, bandwidth = 85.727145 GBytes/s, performance = 61.723544 GFlop/s, t_j_init = 0.000099 , t_j_init_copy = 0.000234 , t_a_init_copy = 0.000407 , t_j_end_copy = 0.000254 , t_a_end_copy = 0.000396
n_element = 72703 , t_a_compute = 0.000822 seconds, bandwidth = 88.482209 GBytes/s, performance = 63.707191 GFlop/s, t_j_init = 0.000110 , t_j_init_copy = 0.000253 , t_a_init_copy = 0.000440 , t_j_end_copy = 0.000272 , t_a_end_copy = 0.000428
n_element = 79973 , t_a_compute = 0.000902 seconds, bandwidth = 88.643387 GBytes/s, performance = 63.823239 GFlop/s, t_j_init = 0.000120 , t_j_init_copy = 0.000274 , t_a_init_copy = 0.000474 , t_j_end_copy = 0.000290 , t_a_end_copy = 0.000469
n_element = 87970 , t_a_compute = 0.000975 seconds, bandwidth = 90.248967 GBytes/s, performance = 64.979256 GFlop/s, t_j_init = 0.000133 , t_j_init_copy = 0.000299 , t_a_init_copy = 0.000515 , t_j_end_copy = 0.000318 , t_a_end_copy = 0.000505
n_element = 96767 , t_a_compute = 0.001056 seconds, bandwidth = 91.637586 GBytes/s, performance = 65.979062 GFlop/s, t_j_init = 0.000144 , t_j_init_copy = 0.000324 , t_a_init_copy = 0.000568 , t_j_end_copy = 0.000342 , t_a_end_copy = 0.000544
n_element = 106443 , t_a_compute = 0.001141 seconds, bandwidth = 93.250481 GBytes/s, performance = 67.140347 GFlop/s, t_j_init = 0.000158 , t_j_init_copy = 0.000351 , t_a_init_copy = 0.000627 , t_j_end_copy = 0.000370 , t_a_end_copy = 0.000595
n_element = 117087 , t_a_compute = 0.001240 seconds, bandwidth = 94.458518 GBytes/s, performance = 68.010133 GFlop/s, t_j_init = 0.000174 , t_j_init_copy = 0.000385 , t_a_init_copy = 0.000671 , t_j_end_copy = 0.000403 , t_a_end_copy = 0.000654
n_element = 128795 , t_a_compute = 0.001353 seconds, bandwidth = 95.206591 GBytes/s, performance = 68.548745 GFlop/s, t_j_init = 0.000192 , t_j_init_copy = 0.000417 , t_a_init_copy = 0.000728 , t_j_end_copy = 0.000452 , t_a_end_copy = 0.000717
n_element = 141674 , t_a_compute = 0.001478 seconds, bandwidth = 95.858193 GBytes/s, performance = 69.017899 GFlop/s, t_j_init = 0.000236 , t_j_init_copy = 0.000465 , t_a_init_copy = 0.000883 , t_j_end_copy = 0.000478 , t_a_end_copy = 0.000775
n_element = 155841 , t_a_compute = 0.001611 seconds, bandwidth = 96.728003 GBytes/s, performance = 69.644162 GFlop/s, t_j_init = 0.000241 , t_j_init_copy = 0.000499 , t_a_init_copy = 0.000900 , t_j_end_copy = 0.000514 , t_a_end_copy = 0.000847
n_element = 171425 , t_a_compute = 0.001752 seconds, bandwidth = 97.872246 GBytes/s, performance = 70.468017 GFlop/s, t_j_init = 0.000258 , t_j_init_copy = 0.000541 , t_a_init_copy = 0.000983 , t_j_end_copy = 0.000558 , t_a_end_copy = 0.000957
n_element = 188567 , t_a_compute = 0.002003 seconds, bandwidth = 94.149196 GBytes/s, performance = 67.787421 GFlop/s, t_j_init = 0.000295 , t_j_init_copy = 0.000596 , t_a_init_copy = 0.001062 , t_j_end_copy = 0.000604 , t_a_end_copy = 0.001001
n_element = 207423 , t_a_compute = 0.002094 seconds, bandwidth = 99.046083 GBytes/s, performance = 71.313180 GFlop/s, t_j_init = 0.000311 , t_j_init_copy = 0.000648 , t_a_init_copy = 0.001154 , t_j_end_copy = 0.000658 , t_a_end_copy = 0.001093
n_element = 228165 , t_a_compute = 0.002286 seconds, bandwidth = 99.828882 GBytes/s, performance = 71.876795 GFlop/s, t_j_init = 0.000345 , t_j_init_copy = 0.000713 , t_a_init_copy = 0.001259 , t_j_end_copy = 0.000717 , t_a_end_copy = 0.001198
n_element = 250981 , t_a_compute = 0.002502 seconds, bandwidth = 100.316320 GBytes/s, performance = 72.227750 GFlop/s, t_j_init = 0.000373 , t_j_init_copy = 0.000786 , t_a_init_copy = 0.001384 , t_j_end_copy = 0.000774 , t_a_end_copy = 0.001327
n_element = 276079 , t_a_compute = 0.002738 seconds, bandwidth = 100.833685 GBytes/s, performance = 72.600253 GFlop/s, t_j_init = 0.000415 , t_j_init_copy = 0.000861 , t_a_init_copy = 0.001515 , t_j_end_copy = 0.000843 , t_a_end_copy = 0.001452
n_element = 303686 , t_a_compute = 0.002995 seconds, bandwidth = 101.413713 GBytes/s, performance = 73.017873 GFlop/s, t_j_init = 0.000463 , t_j_init_copy = 0.000945 , t_a_init_copy = 0.001665 , t_j_end_copy = 0.000922 , t_a_end_copy = 0.001598
n_element = 334054 , t_a_compute = 0.003276 seconds, bandwidth = 101.983752 GBytes/s, performance = 73.428301 GFlop/s, t_j_init = 0.000528 , t_j_init_copy = 0.001034 , t_a_init_copy = 0.001829 , t_j_end_copy = 0.001014 , t_a_end_copy = 0.001746
n_element = 367459 , t_a_compute = 0.003590 seconds, bandwidth = 102.358577 GBytes/s, performance = 73.698175 GFlop/s, t_j_init = 0.000595 , t_j_init_copy = 0.001133 , t_a_init_copy = 0.002000 , t_j_end_copy = 0.001105 , t_a_end_copy = 0.001909
n_element = 404204 , t_a_compute = 0.003934 seconds, bandwidth = 102.745400 GBytes/s, performance = 73.976688 GFlop/s, t_j_init = 0.000670 , t_j_init_copy = 0.001247 , t_a_init_copy = 0.002198 , t_j_end_copy = 0.001198 , t_a_end_copy = 0.002101
n_element = 444624 , t_a_compute = 0.004314 seconds, bandwidth = 103.057915 GBytes/s, performance = 74.201699 GFlop/s, t_j_init = 0.000768 , t_j_init_copy = 0.001369 , t_a_init_copy = 0.002408 , t_j_end_copy = 0.001320 , t_a_end_copy = 0.002301
n_element = 489086 , t_a_compute = 0.004741 seconds, bandwidth = 103.163112 GBytes/s, performance = 74.277441 GFlop/s, t_j_init = 0.000901 , t_j_init_copy = 0.001514 , t_a_init_copy = 0.002678 , t_j_end_copy = 0.001435 , t_a_end_copy = 0.002519
n_element = 537994 , t_a_compute = 0.005189 seconds, bandwidth = 103.681405 GBytes/s, performance = 74.650612 GFlop/s, t_j_init = 0.000995 , t_j_init_copy = 0.001676 , t_a_init_copy = 0.002889 , t_j_end_copy = 0.001570 , t_a_end_copy = 0.002762
n_element = 591793 , t_a_compute = 0.005236 seconds, bandwidth = 113.028665 GBytes/s, performance = 81.380639 GFlop/s, t_j_init = 0.001127 , t_j_init_copy = 0.001848 , t_a_init_copy = 0.003150 , t_j_end_copy = 0.001718 , t_a_end_copy = 0.003030
n_element = 650972 , t_a_compute = 0.005754 seconds, bandwidth = 113.142904 GBytes/s, performance = 81.462891 GFlop/s, t_j_init = 0.001297 , t_j_init_copy = 0.002046 , t_a_init_copy = 0.003478 , t_j_end_copy = 0.001894 , t_a_end_copy = 0.003324
n_element = 716069 , t_a_compute = 0.006314 seconds, bandwidth = 113.409168 GBytes/s, performance = 81.654601 GFlop/s, t_j_init = 0.001462 , t_j_init_copy = 0.002229 , t_a_init_copy = 0.003888 , t_j_end_copy = 0.002080 , t_a_end_copy = 0.003664
n_element = 787675 , t_a_compute = 0.006928 seconds, bandwidth = 113.692361 GBytes/s, performance = 81.858500 GFlop/s, t_j_init = 0.001817 , t_j_init_copy = 0.002393 , t_a_init_copy = 0.004137 , t_j_end_copy = 0.002263 , t_a_end_copy = 0.004016
n_element = 866442 , t_a_compute = 0.007610 seconds, bandwidth = 113.856360 GBytes/s, performance = 81.976579 GFlop/s, t_j_init = 0.001898 , t_j_init_copy = 0.002623 , t_a_init_copy = 0.004587 , t_j_end_copy = 0.002485 , t_a_end_copy = 0.004396
